Emotion,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9,Angle10,Angle11,Angle12,Angle13,Angle14,Angle15,Angle16,Angle17,Angle18,Angle19,Angle20,Angle21,Angle22,Angle23,Angle24,Angle25,Angle26,Angle27,Angle28,Angle29,Angle30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feliz,5.042514588,179.9705302,15.25513235,163.8277918,6.606372376,174.0937803,165.9637338,6.709860982,2.792818696,179.9447208,22.99590023,55.85639725,175.6011844,149.0362525,127.763093,29.24268563,3.814098965,149.7626095,30.74996638,46.31125743,174.2893942,139.9695062,161.5649102,7.815302369,89.99998029,41.92104799,161.8386697,166.961043,104.0241582,128.6597586,52.40372982,27.4055833,25.00789835,133.5036989,168.4951491,126.8698079,61.15994158,103.4848721,69.77236524,75.96364229,66.80137927,10.42205881,7.609529512,131.8199312,171.5728556,33.67882548,2.906722699,15.16148269,93.75160846,51.2258221,22.61988737,101.6639445,14.26997008,0.602794651,166.481702,166.3272688,84.80554788,52.54943722,175.6430081,31.13121197,44.65135019,177.5672051,163.827743,1.908447309,23.77250064,34.19569882,47.89577696,7.09713602,103.4848721,37.12114362,90.45453489,177.8589995,39.97356,80.98154062
Feliz,5.042514354,170.537632,6.483121691,167.1711533,6.606371762,165.9637267,165.9637336,6.70986149,5.337512652,179.9446874,23.9972882,52.12499992,175.6011873,149.0362526,126.0273934,32.44470493,2.078423888,154.7835747,30.62178718,47.8387828,170.9334646,132.0641451,161.5649126,6.355210566,88.47138286,42.17542826,161.8386699,166.9610454,107.5497738,128.6597611,50.49305985,27.40558333,25.69865655,130.6838697,168.49515,126.869814,61.81666226,102.9883873,71.4519792,81.02724395,69.075466,12.07084418,7.958773978,131.8199425,176.5408832,33.29285943,2.889860755,27.84175041,95.40366798,39.80556971,23.49858699,102.867454,13.57711333,0.634283356,165.8275944,162.5119895,67.94355169,48.15072829,176.2217798,30.39362379,45.68090428,174.1139649,163.8277422,1.908447343,23.19874518,33.35412073,51.49207823,6.627853411,102.9883873,36.15407787,90.62033568,173.9071982,38.9835734,81.1309815
Feliz,5.042514473,179.9704396,7.12504633,167.1711532,9.068023518,174.0937792,168.6900557,6.709860934,2.792819321,179.9446621,22.99590029,56.14286768,175.6011846,149.0362529,124.2374816,33.69006995,2.024211518,152.4057709,36.72409933,46.84760561,168.3010539,133.8540493,171.8696586,6.290681906,89.6762792,41.92104797,161.8386713,166.961044,106.5156856,120.5296695,52.55317074,27.84961864,24.30456819,133.4233411,161.5650238,117.9794105,61.15994176,103.0740981,68.62399272,75.96364372,66.80137862,14.15341018,7.609529475,143.1295199,168.2064589,32.98729883,3.012838005,15.16148251,98.2969924,51.22582203,22.61988395,103.3630793,13.43964804,0.634282243,166.1607856,165.3321586,84.80554811,47.31114337,175.6430059,30.59695092,44.65135013,177.2360418,163.8277426,2.596724053,23.77249949,33.35412067,52.08011029,6.627853414,103.0740981,36.5794528,89.535947,177.858997,39.49938215,81.13098154
Feliz,7.333104155,179.9708831,13.39252143,167.1711518,6.606371141,174.0937805,168.690055,6.709861404,1.397418536,172.874776,22.66661797,56.14286853,175.601187,158.1985973,124.2374814,34.33021841,3.814099369,156.124701,32.91003204,45.99117297,176.3860131,139.9695102,171.8696568,6.290681742,88.47138259,41.92104804,161.8745176,166.9610472,108.2513922,110.2248294,52.40373001,20.58637407,24.30456789,133.4233446,161.5650245,121.1592284,62.58799465,105.3873536,70.23277274,75.96364385,66.80138078,14.15341031,7.577288153,123.6899004,173.3085331,33.28571958,2.993774392,15.16148456,101.3097784,39.91589494,25.55997933,103.9135016,14.26997021,0.602795488,165.8096207,162.5119896,85.19202177,48.15072779,176.2217836,30.75484416,44.65135015,177.236042,163.8277402,2.794533502,23.77250212,33.35412144,48.58547282,6.672777164,105.3873536,36.74566924,89.91297941,177.8590007,40.05520073,80.98154071
Feliz,5.194493395,170.5376309,13.39251279,167.1711544,4.239238203,178.1523084,168.690056,6.70986117,1.397413939,179.9447705,23.99728832,58.84067295,175.425944,137.7263239,124.2374824,32.44470488,2.078424264,154.6271137,33.93272903,47.65738405,174.2893951,133.8540539,153.4350186,6.290681821,91.20487521,48.01279257,163.2671258,178.2608884,104.0241591,120.5296692,49.21096764,23.19859217,24.30456828,133.4233436,161.5650242,118.4955784,62.70484218,105.3873539,70.81004035,63.43485092,66.80137938,12.63709235,7.846028823,123.6898971,173.3085306,33.25119582,2.889860774,15.161483,93.75160744,62.53575451,25.55998103,103.6914531,13.80307717,1.25552948,162.7240059,164.9314999,87.59737188,60.67953141,176.2217798,30.39362477,46.73279078,174.1139649,163.8277425,1.826518192,30.32372268,26.73221178,51.15451337,7.08887422,105.3873539,36.3857756,89.81575772,165.6021332,41.70969025,79.84888935
Feliz,5.194494512,170.53763,13.39251254,167.1711548,6.831067098,170.5376619,168.6900559,6.709860989,5.267804063,179.9330167,23.99728842,54.85130923,175.6011854,158.1985976,124.2374821,32.44470498,2.078425071,154.6271131,30.74996714,47.33730032,173.6597703,138.9644483,153.4349824,6.290682017,88.46327608,48.01279272,162.506855,165.221457,104.024159,128.6597576,49.03266195,23.19859225,24.30456862,133.4233431,166.7594403,126.8698114,61.34921407,105.3873543,70.81004159,71.56493703,66.8013799,12.63709244,6.625142968,123.689896,173.9201724,32.81953864,2.889861395,21.50164616,95.40366363,62.42542924,25.55997922,102.3031039,14.43814108,0.634283401,162.7035447,163.2368441,85.19202264,59.39360046,176.1859036,30.39362518,46.73279063,174.1139651,163.8277428,1.826518475,23.44821871,34.19569711,50.88040177,7.103469129,105.3873543,36.38577578,89.68823716,165.6021332,38.51259243,82.05652765
Feliz,5.194493915,171.8698449,13.39251206,167.1711568,6.606373214,171.8698348,165.9637354,6.709860517,4.332384533,174.2891463,23.59901623,56.14286611,173.5168826,158.1985974,118.3007782,32.44470521,2.078423665,154.7835738,30.62178795,47.65738446,170.9334663,134.37019,153.4349819,6.29068191,89.65338552,48.26203856,160.8342198,166.9610408,105.814068,120.5296693,50.49305988,27.84961905,24.3045676,132.4737781,163.3007352,126.869813,61.49837391,105.3873542,70.81004291,59.03615099,66.80137827,12.07084439,7.806393175,143.1295457,176.5408873,33.16102535,3.527797676,27.84174829,96.73588281,61.41209163,22.6198821,102.4799419,14.76756893,0.996720442,165.8275964,165.7483417,84.80554903,59.39360057,176.2217729,30.39362425,45.68090395,174.113966,163.8277458,1.866509827,22.95423908,33.8572001,47.89577699,7.045972236,105.3873542,37.05080868,90.62033425,173.9071966,40.60942839,81.13098168
Feliz,5.194495179,170.5376311,7.815319375,167.1711545,9.401785974,174.0937794,174.0938,1.789989591,2.862614701,172.8747996,23.91055898,56.1428672,168.6900415,158.1985973,124.2374819,32.44470526,2.078423833,149.762609,30.74996664,46.3322152,168.3010542,134.370192,153.4349815,7.900980119,89.65338489,41.92104817,160.8342154,165.2214596,103.8895979,112.8336186,50.3436189,27.84961872,24.30456862,132.5382244,166.7594395,126.8698116,61.34921544,103.8662246,69.34956,75.9636424,73.92640535,12.07084418,7.958773772,131.8199325,173.9201742,33.25119584,2.993773293,27.84175001,95.40366516,61.50435539,22.61988555,103.9135017,14.26997007,0.634282979,162.7035456,166.327269,69.55043743,59.39360092,176.1859029,31.13121207,45.68090416,171.0273405,163.6517274,1.826518447,23.77249966,33.69016206,47.89577702,7.097136019,103.8662246,36.57945274,90.74785452,177.2736057,38.89674676,83.3674846
Feliz,5.194494711,171.8698517,6.483119755,166.9612731,6.831067402,168.6900561,168.6900562,6.709860758,2.862616317,179.9450837,23.59901641,63.95814992,172.1847072,142.1250298,124.2374821,31.86598016,2.024212213,154.6271128,33.93272982,47.65738398,171.0273648,133.8540492,153.4349831,6.355210973,88.46327657,43.06320541,162.8756636,165.2214564,105.8140683,127.8749265,50.49306,28.30075752,24.30456784,132.473778,161.5650251,126.8698116,62.70276783,102.9883884,69.19861152,68.62921437,66.80137896,12.37774229,6.625143094,108.4348486,168.81812,33.16102574,2.785868671,21.50164534,95.40366218,62.4254293,26.56506512,101.8945332,13.94013638,0.996720574,166.8435143,163.2368447,69.5504382,58.5704419,176.2217749,29.83594799,46.13442301,174.1139652,163.8277438,1.867461681,22.95421807,33.52454974,50.56388766,7.052212239,102.9883884,36.68189184,89.12459275,168.690045,39.0721013,81.13098178
Feliz,2.751957375,179.9731137,15.94541502,163.8277915,6.831066342,165.9637262,165.9637337,6.340214167,1.397418415,179.9446908,23.99728831,55.85639654,175.6011855,158.1985975,135.0000151,32.44470492,2.078424644,149.7626094,30.74996658,47.65738408,168.3010538,134.3701935,161.5649088,6.290681914,89.99997998,41.92104827,161.8386688,165.22146,103.8895989,114.3410591,50.29704932,23.19859224,25.69865731,133.5036996,166.7594406,126.8698127,61.15994065,102.9883878,71.45198059,75.96364298,66.8013791,10.42205887,7.609529464,131.8199387,173.9201739,33.55155435,2.906722548,15.16148402,93.75160737,61.5043548,23.49858826,102.8674537,14.26997022,1.255529039,162.7035452,165.9266114,69.55043753,67.80454876,177.4738506,30.76750762,45.69027876,174.6036525,163.6517251,1.672404497,30.32372264,27.07070615,47.85637188,7.085707134,102.9883878,36.15407818,89.53594745,173.4536831,41.06694227,79.67058358
